ticker;score_sector;score_general;score_final;sector;p_l;p_vp;dividend_yield;crescimento_lucro;roe;payout_ratio;number_code;outlier
RAPT4;0,7755327280093376;0,7288270303539417;0,7475093094161;Industrials;5,4503536;1,0181236;3,85;37,0;14,488000000000001;0,48759997;4;False
RAIZ4;0,7679605336522494;0,7334971468420344;0,7472825015661204;Utilities;5,3744698;0,89371985;3,6700000000000004;;3,633;2,1501;4;False
CLSC4;0,7623878868280762;0,728782774784682;0,7422248196020398;Utilities;5,4510727;0,9273026;6,61;117,30000000000001;20,537001;0,38009998;4;False
CYRE3;0,7418916608894204;0,7418916608894204;0,7418916608894204;Consumer Cyclical;5,238069;0,9460139;6,6000000000000005;88,2;17,788;0,2491;3;False
WIZC3;0,7249968378743866;0,7445474258459811;0,7367271906573434;Financial Services;5,194916;1,6359755;4,1199997;12,7;27,997;0,2191;3;False
CMIG3;0,7551274030156641;0,7226405190329597;0,7356352726260413;Utilities;5,550877;1,6128045;5,42;165,2;30,506;0,5178;3;False
BPAC3;0,7080307871777431;0,7337126581094986;0,7234399097367964;Financial Services;5,370968;1,379796;2,07;14,299999999999999;20,980999999999998;0,17549999;3;False
SOJA3;0,6859623714746595;0,737991896559712;0,717180086525691;Basic Materials;5,3014355;1,143801;2,7;-68,60000000000001;18,839;0,5539;3;False
VAMO3;0,7392438303622829;0,7020713538863639;0,7169403444767315;Industrials;5,8851013;1,1097126;11,75;44,4;13,779001;0,50119996;3;False
MYPK3;0,7105805163831643;0,7105805163831643;0,7105805163831643;Consumer Cyclical;5,7468376;0,495805;4,5500003;;6,814000000000001;0,48;3;False
ESPA3;0,7092023594305017;0,7092023594305017;0,7092023594305017;Consumer Cyclical;5,769231;0,31712472;;;-2,549;;3;False
BPAN4;0,687234818122967;0,7204320485797772;0,7071531563970531;Financial Services;5,586762;1,0906663;3,25;1,2;9,3710005;0,38950002;4;False
MLAS3;0,599556842033663;0,7757080361811772;0,7052475585221716;Technology;4,6885934;0,35023525;;;-13,407;;3;False
JHSF3;0,608012491144438;0,7646023192453864;0,701966388005007;Real Estate;4,869048;0,5250995;9,3;28,999999999999996;12,161;0,3395;3;False
SUZB3;0,6665212198760363;0,7247587674523015;0,7014637484217954;Basic Materials;5,516458;2,2190235;3,4299999999999997;;-18,244;0,36029997;3;False
