ticker;score_sector;score_general;score_final;business_segment;activity_subsector;sector;company_name;crescimento_lucro;crescimento_receita;dividend_yield;Dív. líquida/EBIT;div_liq_ebitda;Dív. líquida/PL;EV/EBIT;EV/EBITDA;Giro ativos;lpa;liq_corrent;M. Bruta;M. EBIT;M. EBITDA;m_liquida;passivos_ativos;P/Ativo Circ. Liq.;P/Cap. Giro;P/EBIT;P/EBITDA;p_l;P/SR;p_vp;PEG Ratio;PL/Ativos;Passivos/Ativos;ROA;roe;ROIC;VPA;number_code;outlier
LPSB3;0,376156835972751;0,46331504406386925;0,42409385042286607;Intermediação Imobiliária;Exploração de Imóveis;Financeiro e Outros;LOPES BRASIL;0,0;10,78;3,23;-1,41;-1,0;-0,29;2,63;1,85;0,46;0,08;1,7;84,83;24,99;35,49;6,61;0,47;-0,65;4,13;4,04;2,85;15,28;1,01;0,81;-0,33;0,57;0,44;3,06;5,33;16,04;1,55;3;False
TAEE4;0,3796612304853372;0,45993689709356456;0,4238128471198622;Energia Elétrica;Energia Elétrica;Utilidade Pública;TAESA;9,5;15,51;8,7;3,29;4,05;1,29;7,42;9,15;0,2;1,63;1,42;62,19;69,42;56,34;42,82;0,56;-0,67;12,18;4,16;5,12;6,74;2,89;1,63;0,14;0,34;0,66;8,35;24,22;15,21;6,73;4;False
BRSR6;0,36859933974464126;0,4680619155593106;0,4233037564427094;Bancos;Intermediários Financeiros;Financeiro e Outros;BANCO BANRISUL;-10,53;15,28;9,32;0,0;0,0;0,0;6,18;0,0;0,11;1,78;0,95;33,66;4,63;0,0;4,43;0,03;-0,03;-49,32;5,73;0,0;6,0;0,27;0,42;-0,21;0,07;0,93;0,49;6,99;0,0;25,48;6;False
HBSA3;0,44683149773637565;0,402794568511359;0,4226111866626165;Transporte Hidroviário;Transporte;Bens Industriais;HIDROVIAS DO BRASIL S.A.;0,0;8,87;0,0;-150,96;0,0;2,93;-215,81;0,0;0,25;-0,48;0,79;19,02;-1,55;0,0;-22,21;0,25;-0,32;-4,9;-64,84;0,0;-4,51;1,0;1,26;0,01;0,2;0,8;-5,65;-27,9;-2,6;1,73;3;False
BRSR3;0,36550331565871985;0,4663281987880278;0,42095700137983927;Bancos;Intermediários Financeiros;Financeiro e Outros;BANCO BANRISUL;-10,53;15,28;9,05;0,0;0,0;0,0;6,18;0,0;0,11;1,78;0,95;33,66;4,63;0,0;4,43;0,03;-0,03;-57,04;6,63;0,0;6,93;0,31;0,48;-0,25;0,07;0,93;0,49;6,99;0,0;25,48;3;False
AERI3;0,4415648843516113;0,40351907585760943;0,4206396896799103;Máq. e Equip. Industriais;Máquinas e Equipamentos;Bens Industriais;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A;0,0;34,34;0,0;9,24;3,59;0,55;14,26;5,54;0,49;-2,83;1,22;10,95;3,55;9,13;-10,06;0,09;-0,24;0,76;5,02;1,95;-1,77;0,18;0,3;-0,03;0,29;0,71;-4,9;-16,91;1,18;16,7;3;False
RAIL3;0,4460975519980143;0,39611836204718553;0,41860899752505853;Transporte Ferroviário;Transporte;Bens Industriais;RUMO;0,0;14,48;0,51;4,81;2,46;0,78;18,68;9,56;0,26;-0,38;1,63;44,03;18,53;36,2;-5,32;0,67;-0,85;8,0;13,87;7,1;-48,33;2,57;2,25;0,28;0,3;0,7;-1,38;-4,66;5,13;8,05;3;False
GOLL4;0,442263917592854;0,3989261853839618;0,4184281648779633;Transporte Aéreo;Transporte;Bens Industriais;GOL;0,0;10,47;0,0;8,86;0,0;0,0;9,17;0,0;0,85;-0,64;0,3;31,71;10,62;0,0;-10,98;0,21;-0,31;-0,28;2,3;0,0;-2,22;0,24;-0,19;0,0;-1,1;2,1;-9,39;-8,53;-36,27;-7,5;4;False
LVTC3;0,3908042761107535;0,4405274158074175;0,41815200294391874;Programas e Serviços;Programas e Serviços;Tecnologia da Informação;LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A;0,0;0,0;0,0;-1,05;-0,21;-0,08;1,72;0,34;0,6;0,13;1,97;24,38;6,02;30,25;0,99;0,1;-0,16;0,56;2,77;0,55;16,84;0,17;0,21;-0,01;0,47;0,53;0,59;1,26;7,28;10,3;3;False
LOGN3;0,443816717592017;0,3968745135082494;0,41799850534594485;Transporte Hidroviário;Transporte;Bens Industriais;LOG-IN LOGÍSTICA INTERMODAL;0,0;19,06;0,0;4,77;2,43;1,42;12,83;6,54;0,7;-0,31;1,26;14,46;10,64;20,87;-1,27;0,6;-0,82;10,74;8,07;4,11;-67,51;0,86;2,4;0,62;0,25;0,75;-0,89;-3,55;8,41;8,72;3;False
